ID,Title,Status,Review,# Reviews,OveMer,Abstract,Authors,Tags,CategoryLabel,ctgyorder,publish
53,Detecting Stealthy Manipulations of Control logic in Programmable Logic Controllers,Accepted,,2,3 3,"In industrial control systems (ICS), programmable logic controllers (PLCs) are directly connected to physical processes such as nuclear plants, power grids, and gas and oil pipelines. These controllers run control logic programs that define how physical processes are controlled and monitored. Attackers often target PLCs to disrupt these processes, making it essential to protect PLCs against cyberattacks. Existing detection systems have some limitations. Network-based detection systems primarily focus on identifying control-logic attacks by analyzing payload and header information to detect the transfer of control logic over the network. However, these systems are ineffective against attacks that do not involve sending malicious control logic. Instead, attackers may manipulate firmware objects to covertly alter control logic. Memory-based attacks can be detected by defensive and forensic approaches that monitor changes in memory. However, these approaches often fail to detect attacks that do not modify invariants but instead reuse existing code within the memory and update dynamic structures such as the stack. To address these limitations, we propose a system called Control fLow verification and Attacks Detection (CLAD). Our system performs a static analysis of the benign control logic to construct a call graph, followed by a dynamic analysis in which it logs data structures such as the stack and registers to create a dynamic call graph. Notably, CLAD is the first detection scheme capable of identifying manipulations in dynamic and static data structures. Our evaluation results show that CLAD successfully detects different types of stealthy control logic attacks, whereas existing approaches fail to do so.",Adeen Ayub (James Madison University); Irfan Ahmed (Virginia Commonwealth University),#StudentResearchShorts,Research Shorts,3,TRUE
54,Infrastructure for Tracking Information Flow from Social Media to U.S. TV News,Accepted,,2,3 3,"We examine the intersection between social media and mainstream television (TV) news to understand how TV broadcasts amplify the reach of social media content. The widely accepted way of quantifying exposure focuses solely on interactions within the social media platform, such as engagement metrics like likes and shares. However, this approach underestimates the total impact of information or disinformation since it excludes TV viewers who consume social media content reported by local, broadcast, and cable TV news. Although  we anecdotally know that information flows from social media to TV news, e.g., to provide evidence, to amplify popular memes, or to share people's experiences, the scale and nature of this information flow remain largely unexplored. These gaps motivate our research questions: (1) To what extent and in what ways is social media content featured in local and national TV news? and (2) How can we quantify the amplification effect of TV news coverage on social media messages? To answer these questions, we analyze TV news data from the Internet Archive, examining closed captions, on-screen text, and social media logo detection to identify when and how social media is referenced. We are developing machine learning algorithms to detect these instances, categorize their topics and virality, and quantify the amplification effect, providing the first large-scale analysis of how TV news amplifies social media messages.","Himarsha R. Jayanetti (Old Dominion University); Alexander C. Nwala (William & Mary); Michael L. Nelson, Michele C. Weigle (Old Dominion University)",#StudentResearchShorts,Research Shorts,3,TRUE
55,Code-Decomp: Automated Prompt Decomposition for Code Generation,Accepted,,2,3 3,"As AI-enabled programming assistants become increasingly integrated into software development workflows, developers face new bottlenecks in effectively utilizing these tools. Our prior work shows that while these assistants help developers solve problems faster and work with unfamiliar technologies, they lead to overreliance on AI-generated code without a deep understanding of its underlying logic. This tendency to treat AI outputs as a black box can potentially hinder code maintainability. To address this challenge, we introduce Code-Decomp, a novel prompt decomposition technique that automatically breaks down complex programming prompts into structured sub-problems, guiding AI assistants to generate more interpretable and incremental solutions. By structuring prompts in a way that mirrors human problem-solving approaches, Code-Decomp encourages a more systematic approach to engagement with AI-generated code, which could lead to better comprehension and reduce the risks associated with overreliance. Our empirical evaluation using the EvoEval benchmark shows that Code-Decomp achieves improvement in code generation accuracy compared to traditional zero-shot and chain-of-thought prompting approaches across multiple state-of-the-art language models. This improvement in automated prompt decomposition could transform how developers learn and integrate new technologies, enabling them to use AI programming assistants more effectively while maintaining deeper understanding of the generated solutions.","Ebtesam Al Haque, Anuridhi Gupta, Brittany Johnson (George Mason University)",#StudentResearchShorts,Research Shorts,3,TRUE
56,Accelerated Community Detection using Directed Graphs on GPUs,Accepted,,2,3 3,"Community detection methods are widely used across various fields, including gene expression analysis and social network studies, to efficiently identify natural divisions or functional modules within biological and social networks. These methods play a crucial role in identifying functional modules in gene expression networks, social connections in networks, and neural circuits in the brain. However, their computational demands have grown significantly due to the increasing dataset sizes in these fields. The Leiden algorithm, known for its inherent parallelism, remains underutilized on modern multi-core CPUs, which typically have only 32-64 cores. GPUs, with their high memory bandwidth and extensive parallel processing units, better map to Leiden’s parallelism and offer significant performance gains. To the best of our knowledge, CuGraph is the only existing GPU implementation of Leiden, using a blend of Python and C, but it only supports undirected graphs, discarding valuable edge directionality information. Moreover, Python-based GPU implementations are generally slower than those in C/C++, which better optimize performance. This work presents a lightweight CUDA C++-based GPU implementation of the Leiden algorithm, the first to support directed graphs, which typically require nearly double the computational time and memory compared to undirected graphs. We also demonstrate the scalability and effectiveness of our approach on large biological and social network datasets.",Beenish Gul (University of Virginia),#StudentResearchShorts,Research Shorts,3,TRUE
58,Using virtual reality to simulate wilderness search and rescue 'clue-finding' tasks,Accepted,,2,3 3,"To complement two-dimensional laboratory search tasks, some researchers have begun to explore three-dimensional environments that simulate realistic scenarios. Our prior work simulated an open-terrain outdoor search and rescue task. Unfortunately, this type of task requires a large investment of equipment, personnel, space, training, and coordination. Such tasks are also limited by the terrain available to researchers. The current investigation sought to establish virtual reality as a feasible alternative, allowing for tighter experimental control/manipulation, three-dimensional interactive environments, and varied real-world target categories that better capture wilderness search and rescue scenarios. We found that targets with higher visibility (reflected in a higher mean squared error) captured from the AerialFar vantage point were less likely to result in target misses (p < .001), reinforcing its validity as a visibility metric in virtual reality environments. Higher target distance from the player also consistently increased both timeout likelihood (p < .001) and response times (p = .021). These results mirror those from previous visual search literature, where increased target distance and lower visibility are associated with longer response times and higher miss rates, supporting the ecological validity of the virtual reality task.","Paean Luby (University of Richmond); Ashley Mathis, Bryan White, Rebecca Penn (New Mexico State University); Arryn Robbins (University of Richmond); Michael Hout (New Mexico State University)",#StudentResearchShorts,Research Shorts,3,TRUE
62,An Investigation into Maintenance Support for Neural Networks,Accepted,,2,3 3,"As the potential for neural networks to augment our daily lives grows, ensuring their quality through effective testing, debugging, and maintenance is essential. This is especially the case as we recognize the prospects for negative impacts from these technologies. Traditional software engineering techniques like testing and debugging have been effective for maintaining software quality; however, they reveal significant gaps in research and practice for maintaining neural networks. Specifically, there is limited understanding of how practitioners currently address challenges related to understanding and mitigating undesirable behaviors in neural networks. In our research, we explore the current state of research and practice in maintaining neural networks, focusing on insights from practitioners through a mixed-method approach involving surveys and interviews. Our initial findings suggest that existing tools mostly focus on building and training models. While these tools can be helpful, they often fall short in supporting practitioners to understand and address the underlying causes of unexpected model behavior. By evaluating current procedures and identifying limitations of conventional methodologies, our study provides a developer-centric perspective on where current practices fall short and highlights opportunities for improving maintenance support in neural networks. The goal of our work is to bridge the gap between available maintenance tools and techniques and their use in practice.","Fatema Tuz Zohra, Brittany Johnson (George Mason University)",#StudentResearchShorts,Research Shorts,3,TRUE
64,Human AI Collaboration for Scalable Rationale Generation to Support Explainable Stance Detection Systems,Accepted,,2,3 3,"Recent years have demonstrated the transformative capability of Natural Language Processing (NLP) systems to process social media information and gather public consensus across debatable and significant topics. The application of this process has value in many areas, ranging from policy-making and educational campaigns of government agencies to marketing strategies for businesses based on stance from public opinions. Over the past few years, numerous machine learning (ML) models have been curated to achieve this; however, with limited exploration on designing explainable ML systems. Given the sensitive nature of topics (gun safety), it is critical to ensure that the model employs sound reasoning when interpreting these social media messages. To enhance explainability while maintaining the model's performance, explainable ML models typically require substantial human-annotated rationales. Our work proposes a novel human-AI collaboration approach that generates rationale annotations at scale and improves performance on the downstream task of explainable stance detection. We employ a combination of human and algorithmically generated rationale annotations to fine-tune a BERT-based stance detection model using attention weights, attaining inherent explanations. Specifically, we utilize multiple large language models (LLMs) to generate algorithmic, human-like rationales for training instances. Further, we propose a novel framework that integrates algorithmic and human rationales to choose their combination for training cases. Our experimental findings demonstrate the feasibility of leveraging algorithmic rationales to offset the requirement for costly, large-scale human rationales. The application of this research presents a promising direction to support the design of explainable ML systems for tasks beyond stance detection.","Anuridhi Gupta, Hemant Purohit (George Mason University)",#StudentResearchShorts,Research Shorts,3,TRUE
70,Mitigating Cyber Threats in V2V and V2I Networks: A Security-Centric Approach,Accepted,,2,3 3,"A novel framework is introduced to address security and privacy concerns in Vehicle-to-Vehicle (V2V) and Vehicle-to-Infrastructure (V2I) communication. Operating under a semi-honest threat model, the framework utilizes public-key cryptography for secure communication and dynamic key management, effectively countering threats from compromised Roadside Units (RSUs) and malicious vehicles while ensuring user privacy. Synchronized communication among RSUs ensures consistent security credentials across the network, enforcing uniform security standards. A partial trust model, supported by a blockchain-based fallback mechanism, strengthens the reliability and integrity of RSUs. An adaptive deregistration strategy efficiently revokes vehicle credentials, minimizing overhead in high-traffic environments, while dynamic key management helps maintain vehicle anonymity. To protect privacy, the framework uses pseudonymous public keys and encrypts both message content and metadata. The system’s performance is evaluated using metrics such as Message Delivery Ratio (MDR), Privacy Preservation Rate (PPR), and Security Breach Rate (SBR). Results show a consistently high MDR, indicating reliable message delivery even in congested scenarios, along with a high PPR, ensuring robust privacy protection, and a low SBR, demonstrating strong resistance to security breaches. This comprehensive framework offers a secure and privacy-preserving solution for V2V and V2I networks, mitigating cyber threats effectively.","Susan Zehra, Syed R Rizvi (Old Dominion University)",#StudentResearchShorts,Research Shorts,3,TRUE
72,Analysis of Subtelomere and Telomere Regions of Cancer Genomes on the Cloud,Accepted,,2,3 3,"Cancer continues to affect millions of people worldwide, nearly 40% at some point in their lives, with around one-third of cases having potentially a lethal outcome. Many cancers impact specific populations more severely than others and a systematic analysis of genetic features is needed to understand these cancer health disparities. Analysis of patterns of changed genes and rearranged chromosomes characteristic of cancer types will lead to more effective therapies.   The telomeres, which form the ends of human chromosomes are a vitally important part of the cell, required for proper replication and stability. Their dysfunction is a major early event leading to cancer. For that reason, we focus our research in the telomeric and subtelomeric areas of the human genome.   To study genome maintenance in cancer, we use the TCGA large genomic cancer datasets. The subtelomeric analysis of cancer genomes consists of three main parts. In the first part, we use computational methods to extract the telomeric and subtelomeric information out of the large genomic datasets. The computational pipeline is run on the AWS HealthOmics infrastructure. Thereafter, based on the extracted data, we define the telomere and subtelomere-associated features. Given these newly defined features, machine learning methods will be used to correlate them to clinical data.  We have completed the development of our subtelomeric/telomeric computational pipeline and successfully applied it to the metastatic prostate cancer dataset of 101 normal/tumor paired individual genomes. Currently, we are in progress of optimizing it and refining it for the next step of feature identification.","Eleni Adam, Desh Ranjan, Harold Riethman (Old Dominion University)",#StudentResearchShorts,Research Shorts,3,TRUE
74,Usability Heuristics and Large Language Models: Enhancing University Website Evaluations,Accepted,,2,3 3,"Usability evaluations typically rely on expert reviewers, who can be difficult to find and expensive to employ. In this study, we explore how large language models (LLMs) assisted in the usability evaluation of 10 university websites using Nielsen’s 10 usability heuristics: visibility of system status, match between system and real world, user control and freedom, consistency and standards, error prevention, recognition rather than recall, flexibility and efficiency of use, aesthetic and minimalist design, help users recognize and recover from errors, and help and documentation.  By leveraging LLM-driven methodologies, this study evaluates how effectively LLMs can identify usability issues in university websites. Each website was analyzed using two different LLMs, and only the usability issues identified by both models were selected for further validation.  Findings highlight that LLMs can assist human evaluators by identifying additional usability issues that might be overlooked in manual assessments. However, the results also revealed that LLMs occasionally hallucinate usability issues, making human verification essential. The validation process showed that while LLM-generated assessments often aligned with expert insights, human reviewers were necessary to confirm the accuracy and relevance of the identified issues. This underscores the role of LLMs as a supportive tool rather than a standalone replacement for expert evaluations.  Future work includes comparing LLM-generated usability evaluations with expert human evaluations to assess their relative effectiveness and reliability. Additionally, we aim to refine LLM evaluation processes, integrate multimodal data—such as user action logs and screenshots—to enhance their usability assessment capabilities further, and develop systematic methods for filtering hallucinated issues.","Marissa Hirakawa, Malavika Saritha, Mayank Goel, Siddhesh Bapat, Neren Dawar, Rahul Bose Reddy, Sehrish Basir Nizamani (Virginia Tech)",#StudentResearchShorts,Research Shorts,3,TRUE
78,Agentic AI for the Rescue: Factual Summarisation of Crisis-Related Documents,Accepted,,2,3 3,"This research proposes a novel entity-centric abstractive summarization framework for crisis-related documents that integrates targeted question-answer formulation through LLMs to generate factually correct and comprehensive document summaries. The framework was evaluated using the dataset from CRISISFacts Track (TREC 2022-2023, McCreadie et al.), which comprises news articles and microblog content from 18 distinct real-world crisis events. System performance is evaluated using ROUGE and BERT metrics against three reference summaries: NIST incident documentation, Wikipedia entries, and NIST assessor-curated fact pools. The system employs a two-phase architecture that first performs entity-based document retrieval, followed by a constrained LLM summarization system designed to minimize hallucination while maximizing information coverage. The methodology specifically addresses the challenge of generating summaries that align with emergency response officials' information requirements through structured query-driven content formulation. In the first document retrieval phase, an entity-centric ranking algorithm prioritizes documents with higher entity mention frequencies, showing improved retrieval effectiveness. In the second abstractive summarization phase, the entities are used to generate targeted questions aligned with crisis-specific information requirements (encoded as queries in the dataset). The questions generated are then employed to guide another LLM agent in generating factually consistent responses, which are then restructured into cohesive summaries for each event. This dual-agent approach of question-answer generation maintains temporal and causal relationships while preserving source fidelity, achieving superior performance in both automated metrics and human evaluation of factual accuracy. The framework demonstrates domain adaptability beyond crisis informatics, with preliminary experiments indicating enhanced performance in general document summarization tasks compared to baseline approaches.",Hajra Klair (Virginia Tech),#StudentResearchShorts,Research Shorts,3,TRUE
79,Leveraging Smartwatch Sensors For Detecting Off-Task Behaviors Of Neurodivergent Individuals,Accepted,Primary,2,3 3,"Neurodivergent individuals experience a high unemployment rate due to a noticeable gap between accommodation needs and available support. Despite their exceptional ability and potential, they often experience challenges with organizing, communicating, and sustaining attention, which often prevents their workplace success. Even most traditional accommodations are often costly, time-consuming, and inconsistent, hindering neurodivergent individuals from performing up to their potential. Moreover, neurodivergent employees often need positive reinforcement, reminders, and aid with concentration. In fact, data-driven assistive wearable technologies have shown promise in supporting neurodivergent young adults in the workplace. Along this direction, our study explores how smartwatch sensor data can detect off-task behavior in neurodivergent individuals and provide them with personalized interventions to improve workplace success. The data were collected from 25 neurodivergent young adults during a 30-minute manual task in a controlled lab setting via smartwatch. The task designed for this study resembled activities involved in stockers and order fillers, making it applicable to similar job roles and responsibilities. Our next step is to apply machine learning models to extract insights that contribute towards the identification of off-task behavior and thereby design tailored real-time interventions to improve workplace productivity.","Anika Binte Islam, Vivian Genaro Motti (George Mason University)",#StudentResearchShorts,Research Shorts,3,TRUE
5,Home Tech Care: Symbiotic Tech Caregiving,Accepted,,2,2 3,"By 2050, 2 billion older adults will exist worldwide. In 25 years, we'll face the largest older adult demographic in history. We must prepare the youth of today to support future older adults. This won’t be easy and will require cultural resilience to confront society’s mutual intergenerational bias. Yes, mutual. Ageism affects everyone, with biases flowing both from old to young and young to old. These negative narratives create a hostile environment for aging and darken the days of current older adults.  We have created a  student-led Home Tech Care initiative at Warm Hearth Village [W.H.V] , Blacksburg, to understand how to reduce mutual intergenerational bias. We aim to answer two research questions: RQ1: How is intergenerational bias impacted through Home Tech Care sessions?  RQ2: How can the Home Tech Care program be improved? We will share our preliminary findings in our CAPWIC research short.","Natalie Andrus (Department of Computer Science, Virginia Tech, Blacksburg, VA 24061, USA); Onyinye Mbanefo (Department of Human Development, Virginia Tech, Blacksburg, VA 24061, USA); Vee Pettit, Wei Lu Wang, D. Scott McCrickard (Department of Computer Science, Virginia Tech, Blacksburg, VA 24061, USA)",#StudentPosters,Posters,4,TRUE
8,The Web in Schools,Accepted,,2,1 2,"Today, the web is used in classrooms all around the world for learning and creative purposes. Various students utilize the web to take advantage of its learning materials and apply them to their learning process, catering to their learning styles. However, the Internet poses many dangers and distractions for elementary and high school students that can impact their learning process and mental health. Often, students are uneducated on different Internet safety topics, which leads to young children being at risk when it comes to keeping personal information private on dangerous websites. Internet education and web dangers are being implemented into elementary school curriculums so that children learn this information at a young age so that they can travel with this information into their adulthood. Older students find themselves becoming distracted during long lectures or challenging assignments, where they rely on entertaining websites, social media, or webpages used for cheating to speed up assignments and the school day. While the Internet is being used in schools, all students can become exposed to distractions, cyberbullying, cheating websites, privacy risks, extended screentime, and many other harms, if the Internet is not being filtered or specific web expectations are not set in school systems. Ultimately, elementary and high school systems push for web use within the classroom to allow students to fully benefit from different educational resources, although it comes with many threats and dangers.",Abby Kozlowski (None),#StudentPosters,Posters,4,TRUE
20,US Computer Science Faculty Pipeline Dashboard,Accepted,,2,3 3,"The US Computer Science Faculty Pipeline Dashboard's purpose is to evaluate the operations (graduates, employees) of different CS graduate programs with respect to gender. The dashboard helps users compare the graduate student gender diversity between two different universities, examine historical trends in female PhD CS programs, and examine trends in regional CS hiring. The three datasets used to create this dashboard are IPEDS 1984-2011 for CS PhDs awarded per year per institution, by gender, Clauset et al.’s “Systematic inequality and hierarchy in faculty hiring networks” for 2012 CS tenure-track faculty, by gender, job title, alma mater name and region, employing institution name and region, and a SPARQL query on Wikidata for US Universities, by name and IPEDS code, used to align the previous two data sets. The D3 dashboard is composed of a scatterplot, 3 bar charts, and a line graph, along with six sets of selection widgets. The scatterplot shows universities correlating percent of female CS tenure-track faculty alma mater versus percent of female CS tenure-track faculty employer. The first bar chart compares different selected schools’ CS PhD enrollment, alma mater, and employer institutions. The second bar chart compares regional hiring trends and can be further zoomed for a specific institution. The third bar chart shows the number of years with no female graduates, by either count or streak. The line graph shows the count of CS PhD graduates by gender between 1984 and 2011. These interactive charts help the user compare programs’ gender diversity and examine employment trends.","Lesley Frew, Michele C. Weigle (Old Dominion University)",#StudentPosters,Posters,4,TRUE
22,Enhancement of Deep Learning for Segmentation of Protein Secondary Structures from Cryo-EM,Accepted,,2,3 3,"Advances in cryo-electron microscopy has made it become the key technique for protein structure determination. DeepSSETracer, a deep learning framework for the segmentation of protein secondary structure was integrated to the molecular visualization program - ChimeraX to provide a convenient and user-friendly interface for the cryo-EM segmentation tasks. However, due to the nature of deep learning memory requirement, the process can be both memory intensive and time consuming for the users, which also limits the size of input that can be processed on their machines. To address this issue, we performed volume processing by splitting the input cryo-EM maps and weighted merging the segmentation output. Our results showed that the partitioning of volumetric data accelerates the execution time and can reach comparable result to the original framework settings, which enables DeepSSETracer to handle large input data more efficiently.","Thu Nguyen, Yongcheng Mu, Jiangwen Sun, Jing He (Old Dominion University)",#StudentPosters,Posters,4,TRUE
23,AI-Powered Enhancement of Student Learning in Large Programming Courses,Accepted,,2,3 3,"Enhancing student learning experiences through AI-powered tools has become an essential area of research, particularly in addressing challenges in coding-related courses. A major issue in large programming classes is the overwhelming volume of student inquiries, making it difficult for instructors to provide timely and personalized responses. In our analysis of last year’s Piazza data for level 3000 Data Structures and Algorithms Course, we observed that students posted over 300 questions per project, with four projects throughout the semester. Many of these questions were repetitive or focused on similar topics, suggesting an opportunity to streamline responses and improve student support. To address this, we conducted a systematic categorization of past student inquiries, identifying common themes and frequently asked topics. Building on these insights, we developed an AI-driven extension for Piazza aimed at optimizing student support in two key directions. First, a retrieval-based system was designed to surface similar past questions and high-quality responses. By generating keywords from historical student queries and employing a key-value storage approach, the system efficiently retrieves relevant responses, reducing redundancy in common inquiries. Second, a guided AI response mechanism was implemented using OpenAI models to provide step-by-step explanations rather than direct answers, fostering deeper understanding and critical thinking. Although the system has been developed, it has not yet been deployed in a real classroom setting. Future work will focus on evaluating its effectiveness in a natural learning environment, assessing its impact on student engagement, learning outcomes, and instructor workload. Through this AI-powered enhancement, we aim to create a more efficient and supportive learning experience in large-scale programming courses.","Tianyu Zhan, Barton Hou, Sehrish Nizamani (Virginia Tech)",#StudentPosters,Posters,4,TRUE
28,Analyzing Ground-lightning Dataset Using the Density Based Spatial Clustering of Applications with Noise (DBSCAN),Accepted,,2,2 3,"With over seven million warm-season, cloud-to-ground lightning flashes in Washington, DC to analyze, producing a clustering algorithm capable of resolving individual thunderstorm events completes a major step in the analysis and visualization of lightning data. Then, by examining the spatiality of urban thunderstorm events and its relationship with aerosols and thermodynamics, a multi-variable investigation of thunderstorm environments can be conducted in the geographic region.    We utilized the Density Based Spatial Clustering of Applications with Noise (DBSCAN) algorithm to cluster lightning flashes. This choice was made because DBSCAN does not require a priori specification of the number of clusters and can identify clusters of arbitrary size and shape, aligning well with the natural characteristics of thunderstorm events.   We will conduct experiments using lightning flashes collected by the National Lightning Detection Network (NLDN) to demonstrate whether our clustering approach effectively identifies, and groups lightning events.","James Agresto, Zhuojun Duan, Mace Bentley, Tobias Gerken, Dudley Bonsal (James Madison University)",#StudentPosters,Posters,4,TRUE
31,P2VFL: Performance and Privacy-enhanced Incentive Mechanism for Vertical Federated Learning,Accepted,,2,3 3,"Federated Learning (FL) is a distributed learning framework that allows multiple participants to collaboratively train a machine learning model without sharing their private data. While significant research has focused on incentive mechanisms in horizontal FL (HFL), vertical FL (VFL) has received less attention. Clients may hesitate to participate in the federation due to concerns over privacy loss and the high costs of computing and resources.  We introduce a novel Performance and Privacy-enhanced incentive mechanism for VFL, P2VFL. This mechanism is designed to address these concerns, motivating participants to join the federation while enhancing the global model's performance and providing robust privacy guarantees for clients. Clients are rewarded based on the quality of their data and features, ensuring those who contribute most to the overall model accuracy receive greater incentives. To preserve privacy, the server employs differential privacy to protect against reconstruction attacks from other clients. Through extensive experiments, we demonstrate that P2VFL effectively defends against data poisoning and inference attacks with minimal impact on prediction accuracy.","Sindhuja Madabushi (Virginia Polytechnic Institute and State University); Haider Ali, Ahmad Faraz Khan, Jin-Hee Cho (Virginia Tech)",#StudentPosters,Posters,4,TRUE
32,Roots for STEM Organization,Accepted,,2,2 2,"Roots for STEM (RFS) is a student-led, female oriented organization located at the Governor’s School for Science and Technology (GSST). RFS aims to empower young children from the Hampton Roads community (seven school divisions) and the Natasha House (a shelter for women and their children) to pursue their interests in Computational Science and other STEM fields. At least once a month, the RFS leadership organizes and runs free, educational STEM camps in which first to ninth grade students are invited to learn in a hands-on environment surrounded by like-minded peers on the GSST campus. RFS offers children the chance to explore different aspects of STEM by spreading awareness of STEM-related opportunities in the community, such as computer programming in Python, building and programming robots, and engaging in other engineering and science focused events. In order to accommodate the hundreds of students that participate in these STEM camps, juniors and seniors from the Governor’s School volunteer after school. Whether answering a question, connecting the correct part of a robot, or even walking them through a difficult piece of code, these volunteers help the children through each new challenge. By presenting STEM educational opportunities in a fun, interactive format, RFS creates a more invested and interconnected community that can continue to inspire the new generation of computer scientists, engineers, and chemists.","Gaelan Venturi, Lana Quick, Sofia Leyva, Haley Mroczkowski (None)",#StudentPosters,Posters,4,TRUE
36,Exploring QUIC Load Balancing Computation Offload to the Kerne,Accepted,,2,3 3,"QUIC, designed as a successor to TCP + TLS for HTTPS, is a connection-oriented encrypted transport protocol that offers enhanced performance and privacy features. However, its ro- bust security design introduces challenges for load balancing QUIC traffic. While QUIC-LB protocol has been proposed to address these challenges, it remains at the Proof-Of-Concept stage as an Internet Draft, warranting further performance analysis. Modern high-performance networking commonly employs kernel bypass techniques or kernel extensions such as DPDK and XDP. In this work, we present SHRIMP, a QUIC load balancer that leverages XDP to offload Connec- tion ID (CID) extraction to the kernel. Our experimental eval- uation demonstrates significant performance improvements, with kernel offloading reducing CID extraction latency by 70%. These results highlight the effectiveness of kernel-based optimization for QUIC load balancing and provide valuable insights for future in-kernel QUIC-LB implementations and performance enhancement strategies.","Donia Ghazy, Quanzhi Fu, Dan Williams (Virginia Tech)",#StudentPosters,Posters,4,TRUE
41,Characterizing GPU Memory Errors: Insights from a Cross-supercomputer Study,Accepted,,2,3 3,"My name is Zhu Zhu. I am a second-year Ph.D. student at George Mason University. My major is computer science and focused on system reliability especially error characterization and CPU fault tolerance. In this poster, I present research on error characteristics.  Understanding memory error patterns in modern graphic processing units (GPUs) is vital to research productivity and supercomputer utilization, especially given the ongoing trend of large foundation model pretraining that can take thousands of GPUs for months. Here we investigate the reliability behavior of GPU memory errors by analyzing the error logs of 20 million Ampere GPU hours from the Delta, Polaris, and Perlmutter supercomputers. We quantify GPU memory error rate, Mean-Time-Between-Errors (MTBE) in clusters, and comparison of observations among different clusters. Our observations and insights can significantly benefit fault-tolerance software/hardware design and machine operation to accommodate the increasing need for HPC for modern supercomputing applications, such as large foundation models, more efficiently.",Zhu Zhu (George Mason University),#StudentPosters,Posters,4,TRUE
45,Investigating the Impact of AI-Assisted Tools on Practitioner Well-Being,Accepted,Primary,2,3 3,"The increasing adoption of AI-assisted tools, such as ChatGPT, in software development presents both opportunities and challenges. While these tools enhance productivity and streamline tasks, they also introduce new job demands, such as cognitive overload, and impact practitioners’ well-being. Well-being in this context includes mental, emotional, and physical health factors, such as job satisfaction, stress, burnout, and engagement. Our research proposes a study grounded in the Job Demands-Resources (JD-R) model to explore how AI tools influence practitioners’ well-being. A comprehensive survey is designed to investigate key factors like job demands, organizational and social resources, and their interplay. As a preparatory study, it anticipates significant contributions, offering theoretical insights into the dual-edged nature of AI tools and practical recommendations for ethical and effective integration. By emphasizing practitioners' well-being, this research aims to ensure sustainable and equitable adoption of AI-assisted tools in software development.","Fairuz Nawer Meem, Brittany Johnson (George Mason University)",#StudentPosters,Posters,4,TRUE
46,Investigating the Effectiveness of Using K-Nearest-Neighbors and Random Forest in Hybrid Recommendation Systems to Improve Personalized User Experience,Accepted,,2,3 3,"Machine learning algorithms are typically at the core of recommendation systems that are used to increase user experience and satisfaction. There are various algorithms that can be used for recommendation systems, but it is important to discover which algorithms perform the best at giving meaningful and effective recommendations. The three main types of recommendation systems used are: Collaborative Filtering, Content-Based Filtering, and Hybrid Systems. Our research mainly focuses on Hybrid Systems, which combines Collaborative Filtering with Content-Based Filtering to utilize similar users and similar items to produce customer recommendations. The two Hybrid System machine learning algorithms we used for our research are K-Nearest-Neighbors (K-NN) and Random Forest (RF). By comparing and analyzing the results of both of these algorithms we aim to make recommendation systems more personalized and effective for users. Finally, we contrast our findings to existing work in literature to assess the applicability of using K-NN and RF in this hybrid recommendation system.","Alice Zhang, Natale Gray, Nada Basit (University of Virginia)",#StudentPosters,Posters,4,TRUE
50,Voices in Code,Accepted,,2,2 3,"Despite increasing efforts to improve diversity in computer science, underrepresented groups continue to face barriers to inclusion, confidence, and career persistence. This study builds on previous research to explore how undergraduate computer science students experience belonging, confidence, and representation over the last 6 years at the University of Mary Washington. Through a new survey incorporating updated and more inclusive questions, we aim to understand students' perceptions of their classroom experiences, mentorship opportunities, group dynamics, and how those perceptions may have changed over the last 6 years. Key focus areas include the role of gender identity, racial and ethnic representation, and the intersectionality of student experiences in shaping their sense of belonging and intent to pursue a career in technology. By analyzing survey responses through statistical and qualitative methods, we seek to identify trends in students' comfort levels, feelings of being seen and valued, and confidence in their academic and professional aspirations at the University of Mary Washington. Our findings will inform recommendations for fostering a more inclusive and supportive learning environment for our computer science program and hopefully others.","Madison Van Buren, Jessica Zeitz (University of Mary Washington)",#StudentPosters,Posters,4,TRUE
60,Designing an Accessible Web Platform to Connect Refugees with Essential Services,Accepted,,2,3 3,"Designing an Accessible Web Platform to Connect Refugees with Essential Services  Navigating service providers can pose a critical challenge for refugees. Many resettled individuals may struggle to access social services due to barriers such as limited digital literacy, language proficiency, or disabilities. These challenges make it difficult for refugees to find essential resources, including housing, healthcare, legal assistance, education, and employment. Without an accessible and user-friendly platform, many individuals may face unnecessary delays or confusion in obtaining critical support.  This research project focuses on the development of an inclusive website designed to streamline access to these services. Our team partnered with students from George Mason University in order to collect and geocode a list of service providers so that users can locate various types of services in one centralized place. Our approach prioritizes user-centered design, ensuring that the platform effectively meets the diverse needs of its users. The cross-platform website employs Material Design principles and follows Web Content Accessibility Guidelines (WCAG) to enhance usability and inclusiveness. Additionally, we aim to integrate multilingual support, and symbolic icons, in order to create a seamless experience for users with varying language proficiencies and literacy levels.   This research highlights the importance of accessibility in digital humanitarian efforts and provides a model for designing inclusive online resources. This project contributes to the broader field of human-centered computing and digital inclusion, demonstrating how technology can bridge gaps in service access for displaced populations. Ultimately, this project seeks to empower refugees by equipping them with the information they need to rebuild their lives in a new environment.","Alice Milea-Ciobanu, Mona Rizvi (James Madison University)",#StudentPosters,Posters,4,FALSE
